,MWF,MW,M,MF,TuTh,Tu,WF,W,Th,FS,F
600,,,,,,,,,,,
630,,,,,"Thursday, December 8th, 8 AM -10 AM",,,,"Thursday, December 8th, 8 AM -10 AM",,
700,,"Monday, December 5th, 8 AM -10 AM","Monday, December 5th, 8 AM -10 AM",,"Thursday, December 8th, 8 AM -10 AM","Tuesday, December 6th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Thursday, December 8th, 8 AM -10 AM",,
730,,"Monday, December 5th, 8 AM -10 AM","Monday, December 5th, 8 AM -10 AM",,"Thursday, December 8th, 8 AM -10 AM","Tuesday, December 6th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Thursday, December 8th, 8 AM -10 AM",,
800,"Monday, December 5th, 8 AM -10 AM","Monday, December 5th, 8 AM -10 AM","Monday, December 5th, 8 AM -10 AM","Monday, December 5th, 8 AM -10 AM","Thursday, December 8th, 8 AM -10 AM","Tuesday, December 6th, 8 AM -10 AM","Friday, December 9th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Thursday, December 8th, 8 AM -10 AM","Friday, December 9th, 8 AM -10 AM","Friday, December 9th, 8 AM -10 AM"
830,"Monday, December 5th, 8 AM -10 AM","Monday, December 5th, 8 AM -10 AM","Monday, December 5th, 8 AM -10 AM","Monday, December 5th, 8 AM -10 AM","Thursday, December 8th, 8 AM -10 AM","Tuesday, December 6th, 8 AM -10 AM","Friday, December 9th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Thursday, December 8th, 8 AM -10 AM","Friday, December 9th, 8 AM -10 AM","Friday, December 9th, 8 AM -10 AM"
900,"Wednesday, December 7th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM",,"Friday, December 9th, 8 AM -10 AM","Tuesday, December 6th, 8 AM -10 AM","Tuesday, December 6th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Thursday, December 8th, 8 AM -10 AM",,"Friday, December 9th, 8 AM -10 AM"
930,"Wednesday, December 7th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM",,"Friday, December 9th, 8 AM -10 AM","Tuesday, December 6th, 8 AM -10 AM","Tuesday, December 6th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Wednesday, December 7th, 8 AM -10 AM","Thursday, December 8th, 8 AM -10 AM",,"Friday, December 9th, 8 AM -10 AM"
1000,"Wednesday, December 7th, 10:15 AM - 12:15 PM","Wednesday, December 7th, 10:15 AM - 12:15 PM","Monday, December 5th, 10:15 AM - 12:15 PM","Friday, December 9th, 10:15 AM - 12:15 PM","Tuesday, December 6th, 10:15 AM - 12:15 PM","Tuesday, December 6th, 10:15 AM - 12:15 PM","Wednesday, December 7th, 10:15 AM - 12:15 PM","Wednesday, December 7th, 10:15 AM - 12:15 PM","Thursday, December 8th, 10:15 AM - 12:15 PM","Friday, December 9th, 10:15 AM - 12:15 PM","Friday, December 9th, 10:15 AM - 12:15 PM"
1030,"Wednesday, December 7th, 10:15 AM - 12:15 PM","Wednesday, December 7th, 10:15 AM - 12:15 PM","Monday, December 5th, 10:15 AM - 12:15 PM","Friday, December 9th, 10:15 AM - 12:15 PM","Tuesday, December 6th, 10:15 AM - 12:15 PM","Tuesday, December 6th, 10:15 AM - 12:15 PM","Wednesday, December 7th, 10:15 AM - 12:15 PM","Wednesday, December 7th, 10:15 AM - 12:15 PM","Thursday, December 8th, 10:15 AM - 12:15 PM","Friday, December 9th, 10:15 AM - 12:15 PM","Friday, December 9th, 10:15 AM - 12:15 PM"
1100,"Monday, December 5th, 10:15 AM - 12:15 PM","Monday, December 5th, 10:15 AM - 12:15 PM","Monday, December 5th, 10:15 AM - 12:15 PM","Monday, December 5th, 10:15 AM - 12:15 PM","Thursday, December 8th, 10:15 AM - 12:15 PM","Tuesday, December 6th, 10:15 AM - 12:15 PM","Friday, December 9th, 10:15 AM - 12:15 PM","Wednesday, December 7th, 10:15 AM - 12:15 PM","Thursday, December 8th, 10:15 AM - 12:15 PM",,"Friday, December 9th, 10:15 AM - 12:15 PM"
1130,"Monday, December 5th, 10:15 AM - 12:15 PM","Monday, December 5th, 10:15 AM - 12:15 PM","Monday, December 5th, 10:15 AM - 12:15 PM","Monday, December 5th, 10:15 AM - 12:15 PM","Thursday, December 8th, 10:15 AM - 12:15 PM","Tuesday, December 6th, 10:15 AM - 12:15 PM","Friday, December 9th, 10:15 AM - 12:15 PM","Wednesday, December 7th, 10:15 AM - 12:15 PM","Thursday, December 8th, 10:15 AM - 12:15 PM",,"Friday, December 9th, 10:15 AM - 12:15 PM"
1200,"Monday, December 5th, 12:45 PM - 2:45 PM","Monday, December 5th, 12:45 PM - 2:45 PM","Monday, December 5th, 12:45 PM - 2:45 PM","Monday, December 5th, 12:45 PM - 2:45 PM","Thursday, December 8th, 12:45 PM - 2:45 PM","Tuesday, December 6th, 12:45 PM - 2:45 PM","Friday, December 9th, 12:45 PM - 2:45 PM","Wednesday, December 7th, 12:45 PM - 2:45 PM","Thursday, December 8th, 12:45 PM - 2:45 PM","Friday, December 9th, 12:45 PM - 2:45 PM","Friday, December 9th, 12:45 PM - 2:45 PM"
1230,"Monday, December 5th, 12:45 PM - 2:45 PM","Monday, December 5th, 12:45 PM - 2:45 PM","Monday, December 5th, 12:45 PM - 2:45 PM","Monday, December 5th, 12:45 PM - 2:45 PM","Thursday, December 8th, 12:45 PM - 2:45 PM","Tuesday, December 6th, 12:45 PM - 2:45 PM","Friday, December 9th, 12:45 PM - 2:45 PM","Wednesday, December 7th, 12:45 PM - 2:45 PM","Thursday, December 8th, 12:45 PM - 2:45 PM","Friday, December 9th, 12:45 PM - 2:45 PM","Friday, December 9th, 12:45 PM - 2:45 PM"
1300,"Wednesday, December 7th, 12:45 PM - 2:45 PM","Wednesday, December 7th, 12:45 PM - 2:45 PM","Monday, December 5th, 12:45 PM - 2:45 PM","Friday, December 9th, 12:45 PM - 2:45 PM","Tuesday, December 6th, 12:45 PM - 2:45 PM","Tuesday, December 6th, 12:45 PM - 2:45 PM","Wednesday, December 7th, 12:45 PM - 2:45 PM","Wednesday, December 7th, 12:45 PM - 2:45 PM","Thursday, December 8th, 12:45 PM - 2:45 PM",,"Friday, December 9th, 12:45 PM - 2:45 PM"
1330,"Wednesday, December 7th, 12:45 PM - 2:45 PM","Wednesday, December 7th, 12:45 PM - 2:45 PM","Monday, December 5th, 12:45 PM - 2:45 PM","Friday, December 9th, 12:45 PM - 2:45 PM","Tuesday, December 6th, 12:45 PM - 2:45 PM","Tuesday, December 6th, 12:45 PM - 2:45 PM","Wednesday, December 7th, 12:45 PM - 2:45 PM","Wednesday, December 7th, 12:45 PM - 2:45 PM","Thursday, December 8th, 12:45 PM - 2:45 PM",,"Friday, December 9th, 12:45 PM - 2:45 PM"
1400,"Wednesday, December 7th, 3 PM - 5 PM","Wednesday, December 7th, 3 PM - 5 PM","Monday, December 5th, 3 PM - 5 PM","Friday, December 9th, 3 PM - 5 PM","Tuesday, December 6th, 3 PM - 5 PM","Tuesday, December 6th, 3 PM - 5 PM","Wednesday, December 7th, 3 PM - 5 PM","Wednesday, December 7th, 3 PM - 5 PM","Thursday, December 8th, 3 PM - 5 PM","Friday, December 9th, 3 PM - 5 PM","Friday, December 9th, 3 PM - 5 PM"
1430,"Wednesday, December 7th, 3 PM - 5 PM","Wednesday, December 7th, 3 PM - 5 PM","Monday, December 5th, 3 PM - 5 PM","Friday, December 9th, 3 PM - 5 PM","Tuesday, December 6th, 3 PM - 5 PM","Tuesday, December 6th, 3 PM - 5 PM","Wednesday, December 7th, 3 PM - 5 PM","Wednesday, December 7th, 3 PM - 5 PM","Thursday, December 8th, 3 PM - 5 PM","Friday, December 9th, 3 PM - 5 PM","Friday, December 9th, 3 PM - 5 PM"
1500,"Monday, December 5th, 3 PM - 5 PM","Monday, December 5th, 3 PM - 5 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Monday, December 5th, 3 PM - 5 PM","Thursday, December 8th, 3 PM - 5 PM","Tuesday, December 6th, 5:30 PM - 7:30 PM","Friday, December 9th, 3 PM - 5 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Thursday, December 8th, 5:30 PM - 7:30 PM",,"Friday, December 9th, 3 PM - 5 PM"
1530,"Monday, December 5th, 3 PM - 5 PM","Monday, December 5th, 3 PM - 5 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Monday, December 5th, 3 PM - 5 PM","Thursday, December 8th, 3 PM - 5 PM","Tuesday, December 6th, 5:30 PM - 7:30 PM","Friday, December 9th, 3 PM - 5 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Thursday, December 8th, 5:30 PM - 7:30 PM",,"Friday, December 9th, 3 PM - 5 PM"
1600,"Monday, December 5th, 5:30 PM - 7:30 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Thursday, December 8th, 5:30 PM - 7:30 PM","Tuesday, December 6th, 5:30 PM - 7:30 PM","Friday, December 9th, 5:30 PM - 7:30 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Thursday, December 8th, 5:30 PM - 7:30 PM","Friday, December 9th, 5:30 PM - 7:30 PM","Friday, December 9th, 5:30 PM - 7:30 PM"
1630,"Monday, December 5th, 5:30 PM - 7:30 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Thursday, December 8th, 5:30 PM - 7:30 PM","Tuesday, December 6th, 5:30 PM - 7:30 PM","Friday, December 9th, 5:30 PM - 7:30 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Thursday, December 8th, 5:30 PM - 7:30 PM","Friday, December 9th, 5:30 PM - 7:30 PM","Friday, December 9th, 5:30 PM - 7:30 PM"
1700,"Wednesday, December 7th, 5:30 PM - 7:30 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Friday, December 9th, 5:30 PM - 7:30 PM","Tuesday, December 6th, 5:30 PM - 7:30 PM","Tuesday, December 6th, 5:30 PM - 7:30 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Thursday, December 8th, 5:30 PM - 7:30 PM",,"Friday, December 9th, 5:30 PM - 7:30 PM"
1730,"Wednesday, December 7th, 5:30 PM - 7:30 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Monday, December 5th, 5:30 PM - 7:30 PM","Friday, December 9th, 5:30 PM - 7:30 PM","Tuesday, December 6th, 5:30 PM - 7:30 PM","Tuesday, December 6th, 5:30 PM - 7:30 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Wednesday, December 7th, 5:30 PM - 7:30 PM","Thursday, December 8th, 5:30 PM - 7:30 PM",,"Friday, December 9th, 5:30 PM - 7:30 PM"
1800,,"Wednesday, December 7th, 8 PM - 10 PM","Monday, December 5th, 8 PM - 10 PM",,"Tuesday, December 6th, 8 PM - 10 PM","Tuesday, December 6th, 8 PM - 10 PM",,"Wednesday, December 7th, 8 PM - 10 PM","Thursday, December 8th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM"
1830,,"Wednesday, December 7th, 8 PM - 10 PM","Monday, December 5th, 8 PM - 10 PM",,"Tuesday, December 6th, 8 PM - 10 PM","Tuesday, December 6th, 8 PM - 10 PM",,"Wednesday, December 7th, 8 PM - 10 PM","Thursday, December 8th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM"
1900,,"Wednesday, December 7th, 8 PM - 10 PM","Monday, December 5th, 8 PM - 10 PM",,"Tuesday, December 6th, 8 PM - 10 PM","Tuesday, December 6th, 8 PM - 10 PM",,"Wednesday, December 7th, 8 PM - 10 PM","Thursday, December 8th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM"
1930,,"Wednesday, December 7th, 8 PM - 10 PM","Monday, December 5th, 8 PM - 10 PM",,"Tuesday, December 6th, 8 PM - 10 PM","Tuesday, December 6th, 8 PM - 10 PM",,"Wednesday, December 7th, 8 PM - 10 PM","Thursday, December 8th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM"
2000,,"Monday, December 5th, 8 PM - 10 PM","Monday, December 5th, 8 PM - 10 PM",,"Thursday, December 8th, 8 PM - 10 PM","Tuesday, December 6th, 8 PM - 10 PM",,"Wednesday, December 7th, 8 PM - 10 PM","Thursday, December 8th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM"
2030,,"Monday, December 5th, 8 PM - 10 PM","Monday, December 5th, 8 PM - 10 PM",,"Thursday, December 8th, 8 PM - 10 PM","Tuesday, December 6th, 8 PM - 10 PM",,"Wednesday, December 7th, 8 PM - 10 PM","Thursday, December 8th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM"
2100,,"Monday, December 5th, 8 PM - 10 PM","Monday, December 5th, 8 PM - 10 PM",,"Thursday, December 8th, 8 PM - 10 PM","Tuesday, December 6th, 8 PM - 10 PM",,"Wednesday, December 7th, 8 PM - 10 PM","Thursday, December 8th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM"
2130,,"Monday, December 5th, 8 PM - 10 PM","Monday, December 5th, 8 PM - 10 PM",,"Thursday, December 8th, 8 PM - 10 PM","Tuesday, December 6th, 8 PM - 10 PM",,"Wednesday, December 7th, 8 PM - 10 PM","Thursday, December 8th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM","Friday, December 9th, 8 PM - 10 PM"
2200,,,,,,,,,,,
2230,,,,,,,,,,,
